,caption
0,"1girl, hatsune miku, vocaloid, blue eyes, blue hair, bowl, can, chopsticks, collared shirt, detached sleeves, eating, elbow rest, fish \(food\), food, holding, holding chopsticks, katsudon \(food\), long hair, long sleeves, looking at viewer, meal, nail polish, necktie, noodles, onigiri, plate, ramen, sashimi, shirt, shrimp, shrimp tempura, sleeveless, sleeveless shirt, solo, spring onion, tempura, twintails"
1,"masterpiece, high score, great score, absurdres, 1girl, arima kana, oshi no ko, hoshimachi suisei, hoshimachi suisei \(1st costume\), cosplay, looking at viewer, smile, outdoors, night, v, masterpiece, high score, great score, absurdres"
2,"4girls, multiple girls, gotoh hitori, ijichi nijika, kita ikuyo, yamada ryo, bocchi the rock!,  ahoge, black shirt, blank eyes, blonde hair, blue eyes, blue hair, brown sweater, collared shirt, cube hair ornament, detached ahoge, empty eyes, green eyes, hair ornament, hairclip, kessoku band, long sleeves, looking at viewer, medium hair, mole, mole under eye, one side up, pink hair, pink track suit, red eyes, red hair, sailor collar, school uniform, serafuku, shirt, shuka high school uniform, side ahoge, side ponytail, sweater, sweater vest, track suit, white shirt, yellow eyes, painterly, impressionism, faux traditional media, v, double v, waving"
3,"1girl, vertin \(reverse:1999\), reverse:1999, black umbrella, headwear, suitcase, looking at viewer, rain, night, city, bridge, from side, dutch angle, upper body"
4,"1boy, vash the stampede, trigun stampede, red jacket, sunglasses, gun, hand on own hip, aiming, standing, looking at viewer, upper body, desert, cliff, cowboy shot"
5,"1girl, 1boy, c.c., lelouch vi britannia, year 2024, code geass, ascot, bare shoulders, black choker, black hair, blue flower, blue rose, breasts, bush, choker, closed mouth, collarbone, couple, dress, flower, frills, green hair, hetero, long hair, long sleeves, looking at another, medium breasts, off-shoulder dress, off shoulder, parted lips, purple ascot, purple eyes, rose, short hair, sitting, straight hair, yellow eyes"
6,"masterpiece, best quality, high score, great score, absurdres, 1girl, hoshimi miyabi, tailless \(zenless zone zero\), zenless zone zero, unsheathing, wolf ears, katana, serious"
7,"masterpiece, best quality, high score, great score, absurdres, pointy ears, 1girl, frieren, sousou no frieren, long hair, 1boy, flower, head wreath, smile, petals, earrings, jewelry, shirt, elf, blue flower, looking at another, outdoors, green eyes, upper body, long sleeves, striped shirt, striped, sky, solo focus, closed mouth, white hair, falling petals"
8,"masterpiece, best quality, high score, great score, absurdres, 1girl, amiya \(arknights\), arknights, dirty face, outstretched hand, foreshortening, upper body, dark, dark background, from above, depth of field, faux traditional media, painterly, impressionism, photo background"
9,"masterpiece, best quality, high score, great score, absurdres, 1girl, mita \(miside\), miside, blue eyes, low twintails, red hairband, blue scrunchie, red hairclip, red choker, finger to mouth, partially shaded face, head tilt, gesugao, smirk, upper body, dark background, dark"
10,"masterpiece, best quality, high score, great score, absurdres, 3girls, chen, yakumo ran, yakumo yukari, touhou, sitting, leaning on person, smile, tatami, sliding doors"
11,"masterpiece, best quality, high score, great score, absurdres, 1girl, zani \(wuthering waves\), wuthering waves, horns, red eyes, glowing eyes, looking at viewer, adjusting gloves, black gloves, from side, dark background, upper body"
12,"masterpiece, best quality, high score, great score, absurdres, 1boy, 1girl, ayase momo, takakura ken \(dandadan\), dandadan, leaning on person, rooftop, night, cowboy shot, cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast"
13,"safe_pos, 1girl, arima kana, oshi no ko, solo, looking at viewer, facing viewer, incoming food, blush, smile, table, spoon, holding spoon, film grain, food, fork, green sweater, hamburger steak, medium hair, off shoulder, off-shoulder sweater, omelet, red eyes, red hair, restaurant, sweater, table, hand up, medium breasts, yellow sweater, wooden table, indoors, light blush, light rays, miso soup, plant, pov, sunlight, table, portrait, pov across table, sitting, table, depth of field, chromatic aberration, faux traditional media, painterly, impressionism, photo background, masterpiece, high score, great score, absurdres"
14,"safe_pos, masterpiece, high score, great score, absurdres, 1girl, iwakura lain, serial experiments lain, asymmetrical hair, bare shoulders, breasts, brown hair, cable, closed mouth, computer, crt, dark, dress, gun, hair ornament, hairclip, handgun, indoors, looking at viewer, monitor, red eyes, short hair, sig p220/p226, sig sauer, sleeveless, small breasts, solo, weapon, white dress, x hair ornament, darkness, dark room, from above, photo background, spot colors, dutch angle, dark, chromatic aberration, faux traditional media, painterly, cold color, impressionism"
15,"masterpiece, high score, great score, absurdres, 1girl, remilia scarlet, touhou, solo, cowboy shot, dutch angle, outdoors, looking at viewer, finger in own mouth, frilled sleeves, frills, hair between eyes, hands up, hat, hat ribbon, indoors, light blush, light particles, long sleeves, medium hair, mob cap, parted lips, red eyes, red ribbon, red sash, ribbon, sash, stained glass, white hat, wide sleeves, window, wing collar, sensitive, dutch angle, anime coloring, depth of field, faux traditional media, painterly, impressionism, photo background"
16,"masterpiece, high score, great score, absurdres, 1girl, toga himiko, solo, blood, blonde hair, hair bun, knife, double bun, yellow eyes, holding knife, fangs, open mouth, teeth, school uniform, smile, hand on own face, holding, looking at viewer, blood on face, serafuku, sailor collar, blunt bangs, long sleeves, cardigan, messy hair, weapon, blue sailor collar, yellow cardigan, blood on weapon, blood on knife, crazy smile, hand on own cheek, slit pupils, collarbone, holding weapon, skirt, upper body, narrowed eyes, bags under eyes, night, dark,depth of field, chromatic aberration, faux traditional media, painterly, drop shadow, blood, multicolored backgroun, warm color, colorful, impressionism, photo background"
17,"1girl, arima kana, oshi no ko, hoshimachi suisei, hoshimachi suisei \(1st costume\), cosplay, looking at viewer, smile, outdoors, night, v, masterpiece, high score, great score, absurdres"
18,"1girl, souryuu asuka langley, neon genesis evangelion, eyepatch, red plugsuit, sitting, on throne, crossed legs, head tilt, holding weapon, lance of longinus \\(evangelion\\), cowboy shot, depth of field, faux traditional media, painterly, impressionism, photo background"
19,"masterpiece, high score, great score, absurdres,vivid,clear skin,shiny hair,cute girl,cute face,kawaii,beautiful eyes,real skin,lips,,(oni girl,bangs,white hair:1.1),(short hair,bob cut,white forehead horns,short horns,pink hair tips,pink eyes:1), kimono,japanese clothes  selfie, holding smartphone, reflection, mirror"
20,"1girl, hatsune miku, solo, green hair, twintails, long hair, school uniform, autumn, floating leaves, crooked head, looking at viewer, open mouth, closed eyes, smile, blush, spread arms, lying on plenty of leaves, incoming hug, masterpiece, extremely detailed CG unity 8k wallpaper, ultra-detailed, depth of field, best illumination, best shadow, an extremely delicate and beautiful, cowboy shot, from above, masterpiece, high score, great score, absurdres"
21,"safe_pos, masterpiece,best quality,newest,absurdres,highres,,from front,pov,portrait,1girl, beautiful face, perfect eyes, detailed eyes,slim body,mature female,black hair)blunt bang,long hair, straight hair,red eyes,looking at viewer,tilt head down,sad,blood tears,parted lips,large breasts,serafuku,red neckerchief,holding spider lily, smelling,blurry background, dark background,red moon,flower background"
22,"(masterpiece), (best quality), (high score), great score, absurdres, 1girl, theresa \(arknights\), medium shot, (mature:1.3), white hair, grey eyes, rabbit ears,  (sad:1.2), tears,  light smile, reaching towards viewer, holding gift, gift box, (valentine), love sign, outdoors, tower, night, ruins"
23,"best quality, absurdres, 1girl, lady, 20yo, blond hair, (blush:1.3), blue eyes, pov, loolking at away, chocolate, eat chocolate, holding chocolate, present chocolate,  tareme, white cat hood, paw gloves, present ribbon, red ribbon, warm hues, heart pouch,  sunshine, frilled wristband, holy_aura, delicate_lighting, focus_on_girl, intricate_details, soft_shading, nail polish, highres, lens flare"
24,"1boy, 1girl, hug, 1boy, knight, armor, helmet, sit, grin,1girl,dark hair, long hair, closed eyes, open mouth, happy, blush, dress, boots,outside, ruin, flower,masterpiece, high score, great score, absurdres"
25,"(1 girl , solo ,umamusume , fractangles,Cyberspace(vivlos_\(umamusume\) :1.5), 1girl , animal_ears , ) belt , beret , brown_hair , hair_between_eyes , hair_ornament , hat , horse_ears , horse_girl , mole , mole_under_eye , ribbon , , solo ,  twintails ,"
26,"1boy, sad, knight, armor, short hair, dark hair, kneel, clenching teeth, tears, carrying,1girl, sad, dark hair, long hair, faceless, blood on mouth, dress, boots,outside, medieval, ruin, rain,masterpiece, high score, great score, absurdres"
27,"Landscape, night, Flower, particle, sky, stars,1boy, sad, faceless, sit, knight, armor, short hair, dark hair, parted lips,1girl, lying on chest, sad, dark hair, long hair, closed eyes, blood on mouth, dress,ais-particlez,masterpiece, high score, great score, absurdres"
28,"4girls, multiple girls, gotoh hitori, ijichi nijika, kita ikuyo, yamada ryo, bocchi the rock!, modare, ahoge, black shirt, blank eyes, blonde hair, blue eyes, blue hair, brown sweater, collared shirt, cube hair ornament, detached ahoge, empty eyes, green eyes, hair ornament, hairclip, kessoku band, long sleeves, looking at viewer, medium hair, mole, mole under eye, one side up, pink hair, pink track suit, red eyes, red hair, sailor collar, school uniform, serafuku, shirt, shuka high school uniform, side ahoge, side ponytail, sweater, sweater vest, track suit, white shirt, yellow eyes, masterpiece, high score, great score, absurdres"
29,"1girl, apron, apron hold, bangs, black dress, blue sky, blunt bangs, blush, boat, building, city, cityscape, closed mouth, cloud, cloudy sky, collared dress, day, dock, dress, expressionless, faux oil painting, faux painting, faux traditional media, frilled apron, frills, green eyes, green hair, half-closed eyes, horizon, impressionism, jitome, juliet sleeves, lighthouse, long sleeves, looking at viewer, maid, maid apron, maid headdress, medium hair, muted color, ocean, outdoors, painterly, pier, puffy sleeves, reflection, scenery, short hair, short twintails, sky, sleeve cuffs, solo, standing, town, twintails, upper body, water, watercraft, white apron, high score, great score, absurdres"
